X,Y
-94.077408,52.779847
-100.108242,54.473709
-94.394820,54.312005
-99.156005,53.986681
-93.680643,54.840930
-96.259618,55.091473
-94.394820,54.427573
-94.236116,54.818075
-96.722746,54.312846
-98.230454,54.243351
-97.714659,54.289694
-96.722746,54.335985
-96.008568,54.543653
-97.119512,55.228297
-99.063662,55.183015
-120.449316,53.423880
-117.275193,53.565500
-119.405879,53.400230
-109.768985,48.994640
-123.625850,62.340113
-104.427856,61.707495
-119.342000,63.175270
-118.310703,62.815062
-119.024678,64.469898
-135.287441,62.560264
-104.824508,64.229516
-112.138184,61.818377
-116.501365,62.522010
-121.737181,62.338428
-122.609817,64.399863
-117.611993,64.570718
-124.910403,63.775890
-122.609817,61.818377
-74.852825,54.803174
-70.965627,57.111651
-74.614833,54.711620
-72.790230,54.018348
-72.869561,53.596750
-72.314250,53.971713
-71.695316,54.021577
-70.401188,54.965690
-74.447047,54.276749
-121.490064,59.669970
-122.661846,57.339681
-104.733142,58.102234
-101.639250,62.165201
-95.451468,64.100367
-99.553199,65.511682
-108.353919,56.766112
-120.387889,62.536708
-123.499154,63.937401
-122.109014,63.850014
-120.056904,64.370277
-121.380846,63.791604
-122.572394,63.438594
-120.917466,64.456044
-120.520284,64.255503
-120.255495,64.053496
-118.865356,64.111362
-117.806202,64.341628
-116.945639,63.615647
-96.358338,54.680141
-98.542842,55.588299
-107.611847,55.438373
-103.772414,55.700370
-101.786501,55.700370
-100.925938,55.812120
-100.793544,55.812120
-103.929285,57.306052
-106.179986,58.119296
-112.203924,58.743078
-116.440539,58.743078
-118.426452,58.224028
-119.419409,57.162748
-120.346168,56.180799
-120.875745,55.922027
-120.875745,55.661515
-120.941942,55.549333
-120.941942,55.248610
-120.809548,55.021564
-120.743351,54.983597
-119.882789,54.255382
-119.618000,54.100409
-118.889832,53.827808
-117.036313,53.788719
-116.308145,54.100409
-116.374342,54.563588
-117.168707,54.755042
-118.227861,54.983597
-118.558846,55.324005
-118.823634,55.810592
-117.764480,55.913541
-116.705327,55.839270
-116.837722,55.202217
-117.896876,55.202217
-115.182794,53.465682
-115.182794,53.465682
-105.177523,52.577891
-103.787383,52.376295
-100.345133,51.847815
-90.081844,50.262168
-90.089455,50.541617
-75.173778,51.601051
-75.107581,51.683211
-74.710398,52.010364
-74.247019,52.335143
-73.518851,52.456324
-73.055471,52.536926
-71.996317,52.657554
-71.135755,52.817873
-71.400543,52.817873
-69.878009,52.937726
-69.149843,53.334849
-75.086710,54.142303
-75.086710,54.142303
-72.372628,55.364653
-68.334604,55.138269
-67.805027,55.062521
-66.745873,54.489823
-70.386715,54.758091
-70.320518,54.758091
-70.254320,54.758091
-70.254320,54.758091
-71.114884,54.566652
-71.313475,54.566652
-71.710658,55.176089
-71.776855,55.627140
-72.628296,55.697960
-72.893085,55.697960
-73.952240,55.735248
-73.621254,55.735249
-73.654353,55.435947
-73.654353,55.435947
-73.654353,55.435947
-73.654353,55.341947
-74.349423,54.543490
-73.488860,54.370324
-73.058579,54.735039
-73.190973,54.925686
-73.852944,54.505072
-74.283225,54.370324
-75.607168,53.885456
-75.673365,53.807350
-75.408576,53.689917
-74.713507,53.434352
-74.647310,53.434352
-74.349423,53.434352
-74.051536,53.394897
-73.753649,53.355406
-73.720550,53.355406
-73.555057,53.414629
-73.919141,53.924454
-73.886043,53.943940
-74.018437,54.002342
-76.765617,53.097818
-76.467730,53.018249
-76.302238,52.998333
-75.838858,52.938532
-75.739562,52.958475
-75.375478,52.838679
-75.044492,52.638283
-75.176887,52.416782
-73.786747,52.698499
-71.602242,53.414629
-81.002232,51.684040
-83.021244,51.519574
-84.146595,52.112933
-85.205748,53.077939
-86.628986,53.885456
-88.647998,54.080084
-84.080398,50.520233
-82.789554,50.625337
-83.650116,50.414895
-81.862794,50.288179
-83.153638,50.351579
-83.087441,50.351579
-82.458568,50.182323
-82.094484,50.288178
-82.293076,50.245864
-82.524766,50.224693
-101.312955,64.596861
-100.873750,64.380679
-99.681621,63.998229
-100.999237,64.244695
-100.873750,64.407796
-107.210856,65.781436
-106.457932,65.755684
-111.728397,66.291094
-108.465729,66.063010
-108.591216,66.088454
-112.544064,66.291094
-112.042115,66.240586
-122.645787,63.721804
-122.206581,63.358372
-118.630195,63.273844
-127.163328,58.849669
-126.912353,58.687007
-129.422098,59.651620
-129.547585,59.778187
-129.547585,59.809754
-128.857405,59.524573
-128.543687,59.397047
-128.543687,59.397047
-134.880793,66.366666
-134.880793,66.366666
-131.806356,66.815348
-133.249467,66.641825
-132.998498,66.641826
-132.747523,66.616937