X,Y,time,date,line,linename,linetype,f_altm,f_pot,f_ura,f_tho,f_rtk,f_rut,f_ruk,f_adrt,f_adrn,r_tlive,r_potc,r_urac,r_thoc,r_totc,f_mtf,f_prkpa,f_tempc
-89.96241854,50.05628662,111,24/06/1978,248,62480,L,128,0.475,0.308,1.972,3.10157,0.15625,0.53533,17.387,12.87,991.912,99,41,35,1011,60575,101.3,20
-89.96242617,50.05683976,112,24/06/1978,248,62480,L,128.3,0.497,-0.338,1.737,3.27525,0.16177,0.55686,16.828,8.909,992.704,99,38,22,912,60575,101.3,20
-89.96244906,50.05738907,113,24/06/1978,248,62480,L,128.9,0.543,-0.043,0.661,3.46669,0.17245,0.58385,16.844,8.505,992.208,87,27,25,974,60574,101.3,20
-89.96245669,50.05794221,114,24/06/1978,248,62480,L,128.9,0.549,0.178,1.008,3.49469,0.18625,0.63083,18.098,10.7,991.928,108,43,18,1009,60569,101.3,20
-89.96247958,50.05849916,115,24/06/1978,248,62480,L,128.6,0.552,0.756,0.878,3.47131,0.19282,0.64991,19.26,13.693,991.936,107,48,28,1008,60563,101.3,20
-89.96248722,50.05904085,116,24/06/1978,248,62480,L,126.5,0.548,0.408,1.626,2.94384,0.19246,0.6498,19.439,13.53,991.416,100,46,24,1073,60557,101.3,20
-89.96251011,50.05960161,117,24/06/1978,248,62480,L,124.1,0.49,0.281,1.966,2.94383,0.18781,0.64618,19.673,12.898,991.664,107,37,30,1042,60551,101.3,20
-89.96251774,50.06015474,118,24/06/1978,248,62480,L,122.5,0.437,-0.161,2.541,2.94383,0.17855,0.62442,18.446,11.13,991.6,96,47,34,1050,60553,101.3,20
-89.96254063,50.06070025,119,24/06/1978,248,62480,L,123.7,0.376,0.287,2.152,2.94383,0.17234,0.61463,17.941,11.904,992.096,83,35,33,988,60558,101.3,20
-89.96256352,50.06125338,120,24/06/1978,248,62480,L,129.2,0.379,0.405,1.199,2.94383,0.16201,0.58691,15.057,10.239,992.136,98,49,24,983,60565,101.3,20
-89.96257116,50.06181033,121,24/06/1978,248,62480,L,130.8,0.345,0.65,0.222,2.94383,0.15766,0.57797,12.782,8.751,993.6,90,43,18,800,60574,101.3,20
-89.96259405,50.06235583,122,24/06/1978,248,62480,L,129.8,0.275,0.311,0.129,2.94383,0.15313,0.56848,10.252,5.682,993.656,73,36,17,793,60581,101.3,20
-89.96278482,50.06898199,134,24/06/1978,248,62480,L,132,0.254,-0.694,1.502,6.07277,0.10975,0.40725,12.799,3.127,993.512,70,36,32,811,60584,101.3,20
-89.96280771,50.06953893,135,24/06/1978,248,62480,L,130.8,0.254,-0.156,2.189,6.07277,0.10821,0.39997,13.689,7.888,992.96,77,29,19,880,60582,101.3,20
-89.96281535,50.07009207,136,24/06/1978,248,62480,L,130.5,0.258,0.21,1.576,6.07277,0.10965,0.40601,15.991,8.49,992.448,89,50,38,944,60574,101.3,20
-89.96283824,50.07064139,137,24/06/1978,248,62480,L,129.5,0.354,0.567,2.213,6.08732,0.11329,0.42281,18.511,13.356,992.072,75,44,23,991,60564,101.3,20
-89.96284587,50.07119452,138,24/06/1978,248,62480,L,127.4,0.514,0.759,2.38,5.82934,0.11565,0.43516,21.199,16.953,991.328,111,46,30,1084,60555,101.3,20
-89.96286876,50.07175147,139,24/06/1978,248,62480,L,124.4,0.726,0.538,4.186,5.80528,0.1133,0.43199,23.93,22.97,990.576,133,59,42,1178,60551,101.3,20
-89.96287639,50.07229697,140,24/06/1978,248,62480,L,120.1,0.677,0.694,4.397,5.84932,0.10692,0.40776,24.766,23.739,989.992,135,51,54,1251,60557,101.3,20
-89.96289928,50.07285392,141,24/06/1978,248,62480,L,116.7,0.723,0.381,4.205,5.58549,0.10762,0.41039,25.673,22.088,990.36,110,55,35,1205,60569,101.3,20
-89.96290692,50.07340705,142,24/06/1978,248,62480,L,113.7,0.741,0.266,3.982,5.06998,0.11054,0.42188,26.694,21.116,989.488,144,48,40,1314,60584,101.3,20
-89.96292981,50.07395637,143,24/06/1978,248,62480,L,111.6,0.877,0.122,4.273,4.71865,0.11763,0.44462,28.155,22.803,988.864,142,46,52,1392,60600,101.3,20
-89.9629527,50.07450951,144,24/06/1978,248,62480,L,110,0.874,0.349,3.84,4.12162,0.11887,0.44467,27.536,22.972,989.032,148,53,41,1371,60613,101.3,20
-89.96296033,50.07506645,145,24/06/1978,248,62480,L,109.7,0.812,0.6,2.702,3.53247,0.12537,0.4759,26.591,20.751,989.728,149,54,33,1284,60620,101.3,20
-89.96298322,50.07560814,146,24/06/1978,248,62480,L,108.2,0.733,0.367,1.842,3.49449,0.12486,0.47904,24.017,16.255,989.36,126,47,32,1330,60617,101.3,20
-89.96299086,50.07616509,147,24/06/1978,248,62480,L,102.1,0.655,-0.043,1.929,3.11144,0.1236,0.48185,22.426,13.127,990.528,120,37,25,1184,60594,101.3,20
-89.96301375,50.07671822,148,24/06/1978,248,62480,L,100.6,0.684,-0.061,1.787,3.09623,0.12818,0.49508,19.803,13.05,990.488,125,39,35,1189,60546,101.3,20
-89.96302138,50.07726754,149,24/06/1978,248,62480,L,101.2,0.629,0.178,2.022,2.99394,0.13458,0.51604,19.26,14.271,990.992,138,46,30,1126,60497,101.3,20
-89.96304427,50.07782068,150,24/06/1978,248,62480,L,104.5,0.663,0.137,1.7,3.08119,0.13197,0.5074,18.848,13.682,991.04,111,49,30,1120,60466,101.3,20
-89.9630519,50.07837,151,24/06/1978,248,62480,L,107.6,0.657,-0.085,1.935,3.22993,0.12481,0.49169,19.065,12.93,991.072,126,34,28,1116,60458,101.3,20
-89.9630748,50.07892313,152,24/06/1978,248,62480,L,111.6,0.601,-0.138,1.774,3.18654,0.11982,0.46862,19.418,11.496,991.216,125,38,33,1098,60465,101.3,20
-89.96308243,50.07948008,153,24/06/1978,248,62480,L,115.8,0.507,-0.067,2.096,3.17735,0.1213,0.46031,19.108,11.471,991.208,89,44,26,1099,60480,101.3,20
-89.96310532,50.0800294,154,24/06/1978,248,62480,L,118,0.463,-0.038,2.145,3.17142,0.1184,0.45338,19.119,11.182,991.656,100,39,33,1043,60500,101.3,20
-89.96311295,50.08058253,155,24/06/1978,248,62480,L,119.8,0.56,-0.212,2.115,3.3369,0.1184,0.45338,18.082,11.389,991.496,110,39,33,1063,60529,101.3,20
-89.96313584,50.08113566,156,24/06/1978,248,62480,L,119.8,0.554,-0.244,1.372,3.52691,0.1184,0.45338,17.604,9.279,992.032,107,37,25,996,60565,101.3,20
-89.89071445,50.04413331,109,24/06/1978,249,62491,L,126.8,0.598,0.222,2.696,4.74706,0.08311,0.42005,20.487,15.794,991.656,107,40,32,1043,60818,101.3,20
-89.8906763,50.044675,110,24/06/1978,249,62491,L,126.8,0.508,0.597,2.17,4.88667,0.07991,0.40395,18.315,15.433,991.888,113,50,30,1014,60798,101.3,20
-89.89064579,50.04520143,111,24/06/1978,249,62491,L,127.1,0.44,0.605,1.985,5.22853,0.07951,0.40395,17.267,14.128,992.816,88,47,29,898,60775,101.3,20
-89.89060764,50.04572786,112,24/06/1978,249,62491,L,126.5,0.378,0.24,1.657,6.29007,0.0804,0.412,16.6,10.431,992.296,91,39,29,963,60750,101.3,20
-89.89056949,50.04626192,113,24/06/1978,249,62491,L,126.8,0.409,-0.173,3.042,6.40007,0.08117,0.41429,18.728,11.943,992.304,89,35,24,962,60733,101.3,20
-89.89053898,50.04678835,114,24/06/1978,249,62491,L,126.8,0.459,-0.07,3.407,6.73288,0.08583,0.44711,21.899,14.09,991.48,95,43,51,1065,60720,101.3,20
-89.89050083,50.0473186,115,24/06/1978,249,62491,L,127.7,0.526,-0.079,4.848,6.66781,0.09338,0.4984,25.391,18.504,990.376,106,45,35,1203,60701,101.3,20
-89.89046269,50.04784884,116,24/06/1978,249,62491,L,128.6,0.725,0.355,3.858,6.04837,0.09753,0.53245,30.343,21.102,990.216,112,45,47,1223,60670,101.3,20
-89.89043217,50.04839053,117,24/06/1978,249,62491,L,129.5,0.906,0.42,5.33,5.5193,0.0988,0.54083,33.78,27.504,988.576,140,50,35,1428,60611,101.3,20
-89.89039403,50.04891696,118,24/06/1978,249,62491,L,127.4,1.006,0.788,5.095,5.5679,0.1034,0.56205,37.065,30.313,988.24,157,58,59,1470,60513,101.3,20
-89.89035588,50.0494434,119,24/06/1978,249,62491,L,122.8,1.041,0.632,6.017,5.28188,0.10392,0.56452,37.027,32.182,987.848,145,57,45,1519,60398,101.3,20
-89.89032536,50.04997746,120,24/06/1978,249,62491,L,115.5,1.004,0.582,5.003,4.96729,0.10661,0.5836,36.87,28.89,987.728,164,54,53,1534,60307,101.3,20
-89.89030248,50.05050389,121,24/06/1978,249,62491,L,114,1.014,0.352,4.978,4.55994,0.10564,0.58406,36.066,27.654,987.48,153,51,45,1565,60250,101.3,20
-89.89026433,50.05104558,122,24/06/1978,249,62491,L,114,1.007,0.393,4.199,4.57561,0.10377,0.58544,36.066,25.855,987.8,150,50,46,1525,60211,101.3,20
-89.89023381,50.05157201,123,24/06/1978,249,62491,L,117.3,1.004,0.676,4.192,4.75186,0.10049,0.56925,36.43,27.403,987.848,156,49,39,1519,60181,101.3,20
-89.89019567,50.05210225,124,24/06/1978,249,62491,L,121,1.009,0.765,5.089,5.0668,0.10769,0.60449,36.587,30.207,987.704,152,60,44,1537,60160,101.3,20
-89.89015752,50.0526325,125,24/06/1978,249,62491,L,121,1.018,0.903,5.708,5.35158,0.11323,0.62466,36.56,32.648,988.144,153,59,60,1482,60158,101.3,20
-89.89012701,50.05315893,126,24/06/1978,249,62491,L,121.9,1.116,0.694,6.023,5.49123,0.11987,0.66861,37.619,33.53,988.152,161,58,49,1481,60187,101.3,20
-89.89008886,50.05369299,127,24/06/1978,249,62491,L,125.3,1.115,0.85,6.11,5.69526,0.1218,0.68834,39.753,34.618,987.32,168,54,48,1585,60235,101.3,20
-89.89005072,50.05422705,128,24/06/1978,249,62491,L,129.2,1.021,0.608,6.388,6.20653,0.12279,0.69304,40.736,32.708,987.352,149,63,59,1581,60277,101.3,20
-89.8900202,50.05476111,129,24/06/1978,249,62491,L,130.5,0.895,0.803,6.314,6.37113,0.13224,0.75108,39.699,31.981,988.08,129,50,51,1490,60302,101.3,20
-89.88998205,50.05528754,130,24/06/1978,249,62491,L,130.5,1.056,0.747,6.233,5.93407,0.13399,0.77365,39.378,33.568,988.288,139,59,46,1464,60316,101.3,20
-89.88994391,50.05581397,131,24/06/1978,249,62491,L,131.4,1.219,0.656,6.264,5.48539,0.13274,0.77083,41.203,35.261,987.696,180,60,57,1538,60326,101.3,20
-89.88991339,50.05634803,132,24/06/1978,249,62491,L,131.7,1.285,0.549,7.031,5.5229,0.13124,0.76188,43.815,37.428,987.08,161,47,51,1615,60339,101.3,20
-89.88987525,50.05687446,133,24/06/1978,249,62491,L,130.1,1.229,0.6,7.322,6.17705,0.12495,0.72972,45.894,37.709,986.704,156,61,58,1662,60361,101.3,20
-89.88985236,50.05740852,134,24/06/1978,249,62491,L,130.1,1.016,0.924,7.452,6.66667,0.12012,0.71676,44.939,37.084,986.36,172,64,62,1705,60389,101.3,20
-89.88982184,50.05794258,135,24/06/1978,249,62491,L,130.1,1.01,1.225,6.926,6.90137,0.10494,0.63362,44.575,37.402,987.544,124,59,54,1557,60416,101.3,20
-89.8897837,50.05847283,136,24/06/1978,249,62491,L,130.8,0.965,1.136,6.264,6.043,0.10201,0.59987,42.104,34.661,986.968,157,67,50,1629,60433,101.3,20
-89.88974555,50.05900307,137,24/06/1978,249,62491,L,131.7,1.141,1.319,5.64,5.37995,0.10243,0.58727,41.936,36.447,987.944,155,56,51,1507,60435,101.3,20
-89.88971504,50.0595295,138,24/06/1978,249,62491,L,132.3,1.255,0.824,6.178,5.0129,0.10417,0.57959,41.474,36.471,987.784,160,60,44,1527,60430,101.3,20
-89.88967689,50.06006356,139,24/06/1978,249,62491,L,133.2,1.247,0.8,6.444,5.40767,0.10178,0.56141,43.771,36.892,987.408,172,54,57,1574,60423,101.3,20
-89.88963874,50.06058999,140,24/06/1978,249,62491,L,132,1.305,0.579,7.965,6.59596,0.09957,0.54727,46.486,40.185,986.6,154,57,55,1675,60414,101.3,20
-89.88960823,50.06113168,141,24/06/1978,249,62491,L,130.5,1.368,0.656,9.666,6.79047,0.099,0.54525,49.695,45.681,986.04,179,64,68,1745,60410,101.3,20
-89.88957008,50.06165812,142,24/06/1978,249,62491,L,128,1.529,0.425,10.006,6.23029,0.09111,0.50612,50.662,47.324,985.096,204,70,86,1863,60414,101.3,20
-89.88953957,50.06218836,143,24/06/1978,249,62491,L,125.6,1.554,0.248,9.202,5.46834,0.09162,0.4996,50.184,44.645,985.512,194,53,62,1811,60427,101.3,20
-89.88950142,50.06271861,144,24/06/1978,249,62491,L,126.8,1.591,0.31,6.351,4.65244,0.09162,0.4996,49.125,38.382,986.04,180,53,56,1745,60444,101.3,20
-89.88946327,50.06324504,145,24/06/1978,249,62491,L,128.9,1.47,0.611,5.918,3.9785,0.09162,0.4996,47.485,37.428,985.816,194,51,40,1773,60462,101.3,20
-89.88944039,50.0637791,146,24/06/1978,249,62491,L,130.8,1.358,0.909,5.312,4.26568,0.09581,0.52115,45.351,36.144,986.912,165,59,54,1636,60475,101.3,20
-89.88940987,50.06431697,147,24/06/1978,249,62491,L,134.7,1.173,0.42,5.837,4.58083,0.09897,0.53729,39.91,32.258,987.88,150,57,45,1515,60486,101.3,20
-89.88937173,50.0648434,148,24/06/1978,249,62491,L,137.2,0.995,0.417,5.003,5.15855,0.09881,0.54122,33.959,27.836,989.552,140,38,46,1306,60489,101.3,20
-89.88934121,50.06537365,149,24/06/1978,249,62491,L,136.6,0.807,0.251,4.038,5.23244,0.10228,0.55338,26.786,22.033,990.72,118,52,40,1160,60486,101.3,20
-89.88930306,50.06590389,150,24/06/1978,249,62491,L,135.6,0.62,0.293,3.667,5.6579,0.10518,0.56106,22.051,18.902,992.08,102,45,30,990,60483,101.3,20
-89.88926492,50.06643414,151,24/06/1978,249,62491,L,134.7,0.462,0.018,2.683,5.32011,0.10228,0.53731,17.517,12.826,992.184,102,37,41,977,60477,101.3,20
-89.8892344,50.06696057,152,24/06/1978,249,62491,L,129.8,0.387,-0.485,3.116,5.04276,0.09931,0.52569,15.579,10.071,993.184,76,37,25,852,60469,101.3,20
-89.88919626,50.06750226,153,24/06/1978,249,62491,L,127.7,0.325,-0.153,1.23,5.04276,0.10304,0.54822,12.266,6.446,993.024,81,32,37,872,60457,101.3,20
-89.88915811,50.06802869,154,24/06/1978,249,62491,L,126.5,0.337,0.107,1.187,5.04276,0.10183,0.54242,11.17,7.97,993.992,87,35,12,751,60445,101.3,20
-89.88912759,50.06855894,155,24/06/1978,249,62491,L,126.5,0.289,0.366,0.352,5.12353,0.10974,0.58594,8.829,6.732,993.8,85,46,25,775,60437,101.3,20